#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm],Design,Direction,Displacement Rate
-0.0083865821,-0.00063514709,A,X,0.1
0.020476788,-0.00019073486,A,X,0.1
-0.014741033,-0.00071907043,A,X,0.1
0.0092996657,0.00020980835,A,X,0.1
-0.0030073822,-0.00078010559,A,X,0.1
0.0042308867,-0.0014019012,A,X,0.1
-0.0070004761,0.00034141541,A,X,0.1
-0.00027212501,-0.00072479248,A,X,0.1
-0.0080986321,-0.00060653687,A,X,0.1
0.0070943534,-0.001537323,A,X,0.1
-0.0010640323,-0.00141716,A,X,0.1
0.0040010512,-0.00020599365,A,X,0.1
-0.0043062866,-0.00040626526,A,X,0.1
0.0021805465,-0.00037956238,A,X,0.1
-0.0039584339,-0.0010299683,A,X,0.1
0.0082317293,0.00093078613,A,X,0.1
-0.011324555,-0.00067520142,A,X,0.1
0.0033921897,-0.0011787415,A,X,0.1
-0.016518265,-0.0006980896,A,X,0.1
0.015709013,-0.0011425018,A,X,0.1
-0.012069017,2.67E-05,A,X,0.1
0.0060845912,-5.72E-05,A,X,0.1
-0.0028466284,0.00023651123,A,X,0.1
0.0029908121,-0.0012054443,A,X,0.1
-0.013685495,-0.0013198853,A,X,0.1
0.0035643876,-0.00087738037,A,X,0.1
-0.0073450506,-0.00078392029,A,X,0.1
0.013275713,-0.00054168701,A,X,0.1
-0.0072531998,-0.0019340515,A,X,0.1
0.0022408664,-0.0005531311,A,X,0.1
-0.0034369528,-0.0022010803,A,X,0.1
0.0084938705,-0.00067520142,A,X,0.1
0.0013872087,-0.00056838989,A,X,0.1
0.0071257055,-0.00037384033,A,X,0.1
-0.0096951425,-0.0002784729,A,X,0.1
0.01232633,0.00085258484,A,X,0.1
-0.017352015,-0.0011825562,A,X,0.1
0.003595084,-0.0010700226,A,X,0.1
-0.004740566,7.63E-06,A,X,0.1
0.0022599995,0.00030899048,A,X,0.1
-0.0088510215,-0.00083732605,A,X,0.1
0.0069316328,-0.0012054443,A,X,0.1
-0.0071976483,-0.00070953369,A,X,0.1
0.0093484223,-0.00044250488,A,X,0.1
-0.01640144,0.00041770935,A,X,0.1
0.005364567,-6.48E-05,A,X,0.1
-0.0018064082,0.0010147095,A,X,0.1
0.014591306,-0.001247406,A,X,0.1
-0.0035124123,-9.54E-05,A,X,0.1
0.006085068,-0.00023651123,A,X,0.1
