,Force,Displacement,Design,Direction,Displacement Rate
172,-0.017352015,-0.0011825562,A,X,0.1
173,0.003595084,-0.0010700226,A,X,0.1
174,-0.004740566,7.6293945e-06,A,X,0.1
175,0.0022599995,0.00030899048,A,X,0.1
176,-0.0088510215,-0.00083732605,A,X,0.1
177,0.0069316328,-0.0012054443,A,X,0.1
178,-0.0071976483,-0.00070953369,A,X,0.1
179,0.0093484223,-0.00044250488,A,X,0.1
180,-0.01640144,0.00041770935,A,X,0.1
181,0.005364567,-6.4849854e-05,A,X,0.1
182,-0.0018064082,0.0010147095,A,X,0.1
183,0.014591306,-0.001247406,A,X,0.1
184,-0.0035124123,-9.5367432e-05,A,X,0.1
185,0.006085068,-0.00023651123,A,X,0.1
186,-0.0070357025,-0.0009098053,A,X,0.1
187,0.008692354,-0.00029754639,A,X,0.1
188,-0.0053878725,0.00089836121,A,X,0.1
189,0.011099488,-0.0008430481,A,X,0.1
190,0.0018469393,2.6702881e-05,A,X,0.1
191,-0.0014201105,-0.0013771057,A,X,0.1
192,-0.0046690404,-0.00089836121,A,X,0.1
193,0.0081679523,-0.00071716309,A,X,0.1
194,-0.010346502,0.00063323975,A,X,0.1
195,0.013385087,-0.001033783,A,X,0.1
196,-0.010608464,-0.00099563599,A,X,0.1
197,0.0070560873,-0.0010757446,A,X,0.1
198,-0.003333658,-8.5830688e-05,A,X,0.1
199,0.0082038939,-0.0014228821,A,X,0.1
200,-0.0026802719,-0.00091171265,A,X,0.1
201,0.00081649423,-0.0011539459,A,X,0.1
202,-0.0021972954,-0.00049781799,A,X,0.1
203,0.0063908398,-0.0013999939,A,X,0.1
204,-0.0064135492,-0.00022125244,A,X,0.1
205,0.0038549602,0.00031661987,A,X,0.1
206,-0.00060752034,-0.00022506714,A,X,0.1
207,0.0074471533,-0.00053787231,A,X,0.1
208,-0.0075146258,-0.00050926208,A,X,0.1
209,0.0093307793,-0.0016326904,A,X,0.1
210,-0.010238081,-0.001083374,A,X,0.1
211,-0.0062864125,-0.00067329407,A,X,0.1
212,-0.011197537,-0.00033187866,A,X,0.1
213,0.0070062578,-0.00059127808,A,X,0.1
214,-0.0021397173,-0.00018692017,A,X,0.1
215,0.0093802512,-0.00039672852,A,X,0.1
216,-0.003069371,-0.0002117157,A,X,0.1
217,0.0016412437,-0.0010681152,A,X,0.1
218,-0.00051775575,-0.00038528442,A,X,0.1
219,-0.0011365712,-0.00034332275,A,X,0.1
220,-0.0048287213,-0.00094604492,A,X,0.1
221,-6.1124563e-05,-9.727478e-05,A,X,0.1
222,-0.0015137494,0.00038719177,A,X,0.1
223,0.0059023798,-0.00092506409,A,X,0.1
224,-0.0086184442,0.00035476685,A,X,0.1
225,0.00045314431,-0.0001335144,A,X,0.1
226,-0.0034379065,0.00016212463,A,X,0.1
227,0.0040474236,-0.0012874603,A,X,0.1
228,-0.0076524913,-7.6293945e-05,A,X,0.1
229,0.0010996759,-0.00047111511,A,X,0.1
230,-0.0010876358,0.00037956238,A,X,0.1
231,0.004928261,-0.001449585,A,X,0.1
232,0.00079926848,-0.0017051697,A,X,0.1
233,0.0045084655,-0.00012588501,A,X,0.1
234,-0.010961443,-0.0005569458,A,X,0.1
235,0.0044701993,0.00061225891,A,X,0.1
236,0.0067672431,-0.00084495544,A,X,0.1
237,0.0042878687,-0.00011444092,A,X,0.1
238,-0.0022545159,-0.00095367432,A,X,0.1
239,-0.00060418248,-0.00049591064,A,X,0.1
240,0.0031407773,-0.00032997131,A,X,0.1
241,0.0021106303,9.9182129e-05,A,X,0.1
242,-0.0044483244,-0.00066184998,A,X,0.1
243,-0.0035653412,-0.0005531311,A,X,0.1
244,0.0052225292,4.9591064e-05,A,X,0.1
245,-0.003834635,0.00012588501,A,X,0.1
246,-0.0044563115,-0.0011501312,A,X,0.1
247,-0.0047444999,0.00053024292,A,X,0.1
248,0.008626312,-0.0018177032,A,X,0.1
249,-0.00031515956,-0.0017738342,A,X,0.1
250,-0.00079098344,-0.00062561035,A,X,0.1
251,-0.0083836019,-0.0015239716,A,X,0.1
252,0.0026219189,5.7220459e-06,A,X,0.1
253,0.0074395239,-0.0004940033,A,X,0.1
254,-0.0061770976,-0.00067138672,A,X,0.1
255,-0.0041659176,-0.00088310242,A,X,0.1
256,-0.0052284896,-0.0010261536,A,X,0.1
257,-0.0018435419,-0.00093650818,A,X,0.1
258,0.0012277663,0.00084686279,A,X,0.1
259,0.0057781637,-0.00089645386,A,X,0.1
260,-0.00070163608,-0.0011806488,A,X,0.1
261,-0.0053964555,3.4332275e-05,A,X,0.1
262,0.0027050674,-0.00038719177,A,X,0.1
263,-0.0012399852,-0.00087738037,A,X,0.1
264,0.0022101104,-0.001335144,A,X,0.1
265,-0.005107373,-1.335144e-05,A,X,0.1
266,0.0068980157,-0.00082015991,A,X,0.1
267,-0.0081149638,-0.00091743469,A,X,0.1
268,0.0020397007,-0.00034713745,A,X,0.1
269,-0.0053605735,-0.00028991699,A,X,0.1
270,0.011727661,-0.00065040588,A,X,0.1
271,-0.0059671104,-0.0016441345,A,X,0.1
272,0.0074565709,-0.0013694763,A,X,0.1
273,-0.0033600032,-0.00051689148,A,X,0.1
274,0.0045079887,-0.0011463165,A,X,0.1
275,-0.0080179274,-0.0010852814,A,X,0.1
276,0.010784119,-0.00069999695,A,X,0.1
277,-0.010190338,0.00019645691,A,X,0.1
278,-0.0028513968,-0.00028991699,A,X,0.1
279,-0.0045086443,0.00011062622,A,X,0.1
280,0.0037373006,-0.00059509277,A,X,0.1
281,-0.0087931454,-0.00088119507,A,X,0.1
282,0.006064862,-0.00031280518,A,X,0.1
283,-0.011061221,-0.00033569336,A,X,0.1
284,0.0087936819,-0.0015888214,A,X,0.1
285,-0.0047723949,4.5776367e-05,A,X,0.1
286,0.0091976821,-0.00033950806,A,X,0.1
287,-0.012192219,-0.0010719299,A,X,0.1
288,0.0070309937,-0.00072479248,A,X,0.1
289,-0.016581088,-0.00061035156,A,X,0.1
290,0.0028515756,-0.00028610229,A,X,0.1
291,-0.0043171942,-0.0014419556,A,X,0.1
292,-0.00097170472,9.5367432e-05,A,X,0.1
293,-0.0039128363,-0.0014190674,A,X,0.1
294,0.0066374838,-0.00054168701,A,X,0.1
295,-0.0072233379,0.00041389465,A,X,0.1
296,0.0070411265,-0.00075340271,A,X,0.1
297,-0.01148209,-0.00070953369,A,X,0.1
298,0.012647361,-0.00064849854,A,X,0.1
299,-0.0020661056,-3.8146973e-05,A,X,0.1
300,0.00041779876,-0.00014877319,A,X,0.1
301,-0.0057545602,-0.00074768066,A,X,0.1
302,0.015052646,0.00013542175,A,X,0.1
303,-0.0044501722,-0.00032806396,A,X,0.1
304,-0.0036878288,0.00068473816,A,X,0.1
305,-0.0047866404,-0.0011310577,A,X,0.1
306,0.0072535574,-0.0013809204,A,X,0.1
307,-0.0032839477,-0.00049591064,A,X,0.1
308,0.0059407651,-0.00071525574,A,X,0.1
309,-0.015337199,-0.0026607513,A,X,0.1
310,0.0090877712,-0.001537323,A,X,0.1
311,-0.0097915232,-0.00077056885,A,X,0.1
312,0.0096924007,-0.00080299377,A,X,0.1
313,-0.010773569,-0.00071144104,A,X,0.1
314,0.0081987083,-0.00082015991,A,X,0.1
315,-0.0098752081,-0.00096511841,A,X,0.1
316,0.007389158,-0.00090408325,A,X,0.1
317,0.0021525919,-0.00082397461,A,X,0.1
318,0.0030217469,-0.00098991394,A,X,0.1
319,-0.0038833916,-0.00092506409,A,X,0.1
320,0.0071638525,-3.2424927e-05,A,X,0.1
321,-0.0094341338,9.5367432e-06,A,X,0.1
322,0.0053547323,0.00045013428,A,X,0.1
323,-0.01177755,-0.00012207031,A,X,0.1
324,0.0076450408,-0.00040054321,A,X,0.1
325,-0.010198742,-0.0015945435,A,X,0.1
326,0.0045427382,-0.00088310242,A,X,0.1
327,-0.0077113807,-0.00036811829,A,X,0.1
328,0.0012525022,0.00025367737,A,X,0.1
329,-0.0073540509,-0.00028038025,A,X,0.1
330,0.0069425404,-0.0010299683,A,X,0.1
331,-0.013451666,-0.00039482117,A,X,0.1
332,0.0036691129,-0.0010414124,A,X,0.1
333,-0.0072710216,-0.0010185242,A,X,0.1
334,0.0089799464,-0.00041389465,A,X,0.1
335,-0.0073511302,-0.00019264221,A,X,0.1
336,0.0082546175,-0.0002746582,A,X,0.1
337,-0.0011453927,-0.00075531006,A,X,0.1
338,0.0064646304,7.4386597e-05,A,X,0.1
339,0.0040343702,-0.00073814392,A,X,0.1
340,0.014205545,-0.00058364868,A,X,0.1
341,-0.01014176,-0.0022907257,A,X,0.1
342,0.009101063,0.00051498413,A,X,0.1
343,-0.001816541,0.0001449585,A,X,0.1
344,0.0016375482,-0.00052070618,A,X,0.1
345,-0.0053575933,-0.001663208,A,X,0.1
346,0.0029453933,-0.00080299377,A,X,0.1
347,-0.0024058521,-0.0019378662,A,X,0.1
348,-0.00023820996,-0.00081253052,A,X,0.1
349,-0.0026444495,-0.00042724609,A,X,0.1
350,0.0039490163,-0.0011920929,A,X,0.1
351,-0.0042188466,-0.00073051453,A,X,0.1
352,0.004966408,-1.1444092e-05,A,X,0.1
353,-0.0034257472,-0.00016021729,A,X,0.1
354,0.0014936626,0.00049972534,A,X,0.1
355,0.0052359998,6.4849854e-05,A,X,0.1
356,0.0046158135,-0.0013046265,A,X,0.1
357,-0.0042237341,-0.001493454,A,X,0.1
358,0.011283964,-0.0011348724,A,X,0.1
359,-0.0069298446,-0.00039482117,A,X,0.1
360,0.002104789,-0.00010299683,A,X,0.1
361,0.0015262067,-0.00065612793,A,X,0.1
362,-0.00088998675,0.0011539459,A,X,0.1
363,-0.0029598176,-0.00057411194,A,X,0.1
364,0.0041734874,8.9645386e-05,A,X,0.1
365,0.0069601834,-0.0006980896,A,X,0.1
366,-0.0058878362,-0.00043487549,A,X,0.1
367,-0.0049768984,-0.0012512207,A,X,0.1
368,0.0061663687,0.0012722015,A,X,0.1
369,-0.0025949776,-0.0010643005,A,X,0.1
370,-0.0051118433,-0.00064659119,A,X,0.1
371,-0.0039925873,5.9127808e-05,A,X,0.1
372,-1.2367964e-05,-0.0016937256,A,X,0.1
373,-0.0087873042,0.00026130676,A,X,0.1
374,-0.0088966787,6.8664551e-05,A,X,0.1
375,-0.00092765689,-0.00069999695,A,X,0.1
376,-0.0078659356,-0.0010299683,A,X,0.1
377,-0.0023747385,0.00036239624,A,X,0.1
378,0.001629442,-0.00057411194,A,X,0.1
379,0.0059793293,-0.00032806396,A,X,0.1
380,0.0026535094,-0.00087738037,A,X,0.1
381,0.0087964833,-0.00045776367,A,X,0.1
382,-0.0048955977,0.00026893616,A,X,0.1
383,-0.0043951571,-0.00013160706,A,X,0.1
384,-0.0013220012,-0.0008392334,A,X,0.1
385,0.00087031722,-0.0012493134,A,X,0.1
386,0.0053746402,-0.00075912476,A,X,0.1
387,0.0077365339,0.00036430359,A,X,0.1
388,0.00046500564,-0.00045394897,A,X,0.1
389,0.0048562586,0.00020599365,A,X,0.1
390,-0.012309939,-0.00069999695,A,X,0.1
391,0.0011747777,-0.0011768341,A,X,0.1
392,-0.0094541609,-0.0010814667,A,X,0.1
393,0.012674123,-3.8146973e-06,A,X,0.1
394,0.001373142,-0.0010375977,A,X,0.1
395,0.010933131,-0.0005531311,A,X,0.1
396,-0.0024274886,-0.00071334839,A,X,0.1
397,0.0016150177,-0.0017261505,A,X,0.1
398,-0.0051531494,-0.00026512146,A,X,0.1
399,0.0066234171,-0.00024986267,A,X,0.1
400,-0.0021850169,-0.00038909912,A,X,0.1
401,0.003356725,0.00018310547,A,X,0.1
402,-0.002828151,7.6293945e-05,A,X,0.1
403,0.0027841628,0.00027084351,A,X,0.1
404,-0.0025341809,-0.00022697449,A,X,0.1
405,0.0021942556,2.6702881e-05,A,X,0.1
406,-0.0084907115,-0.0010528564,A,X,0.1
407,0.0051033199,-0.0001449585,A,X,0.1
408,-0.0066834986,0.00037384033,A,X,0.1
409,-0.0015077889,-0.00032615662,A,X,0.1
410,-0.0049962103,-0.00054931641,A,X,0.1
411,0.0082721412,-0.00046920776,A,X,0.1
412,-0.0064019859,-0.0011405945,A,X,0.1
413,0.018090218,-0.0013122559,A,X,0.1
414,-0.0038764775,-0.0011520386,A,X,0.1
415,0.010466903,0.00099945068,A,X,0.1
416,-0.0043568313,-0.0011043549,A,X,0.1
417,0.0051638782,-0.00066566467,A,X,0.1
418,-0.0059491694,-0.00037574768,A,X,0.1
419,0.010993928,-0.0011844635,A,X,0.1
420,-0.0038140714,-0.00016784668,A,X,0.1
421,0.0013633668,-0.0011920929,A,X,0.1
422,-0.0048796833,0.0003528595,A,X,0.1
423,0.0083974898,-0.0010871887,A,X,0.1
424,0.0036968291,-0.00070381165,A,X,0.1
425,0.019180566,-0.0014019012,A,X,0.1
426,-0.010835379,-9.1552734e-05,A,X,0.1
427,0.00024810433,-0.00053024292,A,X,0.1
428,-0.012709349,-0.00075531006,A,X,0.1
429,0.00022479892,0.00016784668,A,X,0.1
430,-0.011791378,-0.00030136108,A,X,0.1
431,0.0068752468,-0.00018119812,A,X,0.1
432,-0.001052171,-0.00058555603,A,X,0.1
433,0.006639868,-0.00076675415,A,X,0.1
434,-0.0063219965,-0.00060081482,A,X,0.1
435,0.012224883,-0.001701355,A,X,0.1
436,-0.0031580031,-0.00022506714,A,X,0.1
437,0.014485806,1.7166138e-05,A,X,0.1
438,-0.0034684837,-0.00040817261,A,X,0.1
439,0.0072639287,0.00068855286,A,X,0.1
440,-0.0068540275,0.00082206726,A,X,0.1
441,0.0025902689,0.00027275085,A,X,0.1
442,-0.0073880255,9.5367432e-05,A,X,0.1
443,0.012071997,-0.00037765503,A,X,0.1
444,-0.012773603,-0.00092315674,A,X,0.1
445,0.011330277,-0.00087738037,A,X,0.1
446,-0.0010602176,-0.00019073486,A,X,0.1
447,0.004627794,-0.00053596497,A,X,0.1
448,-0.016704172,-0.0010929108,A,X,0.1
449,0.010411531,0.00041389465,A,X,0.1
450,-0.0062707961,-0.00061988831,A,X,0.1
451,0.0051849782,-0.0014266968,A,X,0.1
452,-0.018680245,-0.00066184998,A,X,0.1
453,0.0039354265,-0.00023078918,A,X,0.1
454,-0.0047521293,-0.0014247894,A,X,0.1
455,0.0094353855,0.0004119873,A,X,0.1
456,-0.0036394298,-0.00072669983,A,X,0.1
457,0.011187106,-0.0010700226,A,X,0.1
458,-0.0032802522,-0.00081634521,A,X,0.1
459,0.0040254295,-0.00034332275,A,X,0.1
460,-0.0021205246,-0.00091552734,A,X,0.1
461,0.0021697581,-0.00082397461,A,X,0.1
462,-0.002999872,-0.0002784729,A,X,0.1
463,-0.00017127395,-0.00032424927,A,X,0.1
464,-0.0030111969,0.0007019043,A,X,0.1
465,-0.0080389678,-0.00046730042,A,X,0.1
466,5.1289797e-05,-0.0018234253,A,X,0.1
467,0.0019517243,0.00091171265,A,X,0.1
468,-0.0050611198,-4.196167e-05,A,X,0.1
469,0.0016565025,0.00025177002,A,X,0.1
470,-0.003074199,-0.0002155304,A,X,0.1
471,0.002638191,0.00045585632,A,X,0.1
472,-0.0044866502,-0.00041389465,A,X,0.1
473,0.0040096343,0.00018310547,A,X,0.1
474,-0.004196316,-0.00093460083,A,X,0.1
475,0.0017443001,-0.00023841858,A,X,0.1
476,0.0046393573,0.00015449524,A,X,0.1
477,0.0052949488,0.00039100647,A,X,0.1
478,-0.0017841756,0.00036621094,A,X,0.1
479,0.0016145408,0.00032234192,A,X,0.1
480,-0.012782305,-0.0010910034,A,X,0.1
481,0.00378111,0.00033378601,A,X,0.1
482,0.001381129,-0.0002155304,A,X,0.1
483,0.005874604,-0.0012798309,A,X,0.1
484,-0.0027807057,0.0006942749,A,X,0.1
485,0.00074842572,-0.0011520386,A,X,0.1
486,0.00449875,-0.0013122559,A,X,0.1
487,-0.00012794137,0.0001449585,A,X,0.1
488,0.00026002526,-0.00094604492,A,X,0.1
489,-0.0065200031,-0.0038299561,A,X,0.1
490,0.0021254122,-0.005739212,A,X,0.1
491,-0.0012375414,-0.010360718,A,X,0.1
492,0.0009316504,-0.015785217,A,X,0.1
493,-0.00019773841,-0.021299362,A,X,0.1
494,-0.0059353411,-0.026111603,A,X,0.1
495,-0.00036767125,-0.031476974,A,X,0.1
496,-0.0027185977,-0.037639618,A,X,0.1
497,-0.0017782152,-0.041561127,A,X,0.1
498,-0.0032431781,-0.047878265,A,X,0.1
499,-0.0071721375,-0.053689957,A,X,0.1
500,-0.0045491755,-0.057609558,A,X,0.1
501,-0.0015697777,-0.061878204,A,X,0.1
502,-0.0031065643,-0.067455292,A,X,0.1
503,0.0011510551,-0.073757172,A,X,0.1
504,0.00054684281,-0.078744888,A,X,0.1
505,-0.0033071935,-0.083726883,A,X,0.1
506,0.0092827976,-0.088464737,A,X,0.1
507,-9.6589327e-05,-0.094179153,A,X,0.1
508,-0.002078265,-0.098812103,A,X,0.1
509,-0.0041979253,-0.10354805,A,X,0.1
510,0.0057741106,-0.10734367,A,X,0.1
511,-0.0065110028,-0.11400795,A,X,0.1
512,0.00023427606,-0.11839294,A,X,0.1
513,-0.0015840232,-0.12416267,A,X,0.1
514,0.0081392825,-0.12862396,A,X,0.1
515,-0.0033912361,-0.13444519,A,X,0.1
516,9.5695257e-05,-0.13950157,A,X,0.1
517,0.0038065016,-0.14460754,A,X,0.1
518,-0.0016326606,-0.14900208,A,X,0.1
519,-0.0017367303,-0.15566635,A,X,0.1
520,0.0091967285,-0.15964127,A,X,0.1
521,-0.0050700605,-0.1638546,A,X,0.1
522,0.004368335,-0.17081833,A,X,0.1
523,-0.0067825019,-0.17541885,A,X,0.1
524,0.0046674311,-0.17978477,A,X,0.1
525,-0.0054076016,-0.18549347,A,X,0.1
526,0.0062476099,-0.19023514,A,X,0.1
527,-0.0031056702,-0.19607353,A,X,0.1
528,0.0019950569,-0.20180893,A,X,0.1
529,0.0039000809,-0.20620346,A,X,0.1
530,0.0077188313,-0.21157455,A,X,0.1
531,-0.0069946349,-0.21655655,A,X,0.1
532,-0.0030049384,-0.22079086,A,X,0.1
533,-0.0028809607,-0.22600365,A,X,0.1
534,0.00586918,-0.23103142,A,X,0.1
535,-0.0048957169,-0.23534393,A,X,0.1
536,0.0026079118,-0.24114799,A,X,0.1
537,-0.0060185492,-0.24503517,A,X,0.1
538,0.0069204271,-0.2508316,A,X,0.1
539,-0.0056318939,-0.25629044,A,X,0.1
540,0.0097614825,-0.26033592,A,X,0.1
541,-0.012835413,-0.2675209,A,X,0.1
542,0.011412293,-0.27203751,A,X,0.1
543,-0.0047999918,-0.27603149,A,X,0.1
544,0.012291878,-0.28208351,A,X,0.1
545,-0.0034410059,-0.2859211,A,X,0.1
546,0.015798956,-0.29128265,A,X,0.1
547,0.00096461177,-0.29718781,A,X,0.1
548,0.008961767,-0.30116653,A,X,0.1
549,-0.002935797,-0.30614471,A,X,0.1
550,0.01244244,-0.31085396,A,X,0.1
551,-0.010890156,-0.31681824,A,X,0.1
552,0.012693793,-0.32226944,A,X,0.1
553,-0.0086375177,-0.32658958,A,X,0.1
